date,close,source
2012-05-08,5.0235,coinmetrics
2012-05-09,5.0413,coinmetrics
2012-05-10,4.9275,coinmetrics
2012-05-11,4.9637,coinmetrics
2012-05-12,4.9465,coinmetrics
2012-05-13,4.9448,coinmetrics
2012-05-14,5.0114,coinmetrics
2012-05-15,5.0336,coinmetrics
2012-05-16,5.0878,coinmetrics
2012-05-17,5.0897,coinmetrics
2012-05-18,5.1183,coinmetrics
2012-05-19,5.1125,coinmetrics
2012-05-20,5.0942,coinmetrics
2012-05-21,5.0942,coinmetrics
2012-05-22,5.0891,coinmetrics
2012-05-23,5.1289,coinmetrics
2012-05-24,5.1192,coinmetrics
2012-05-25,5.1373,coinmetrics
2012-05-26,5.1040,coinmetrics
2012-05-27,5.1346,coinmetrics
2012-05-28,5.1363,coinmetrics
2012-05-29,5.1485,coinmetrics
2012-05-30,5.1383,coinmetrics
2012-05-31,5.1816,coinmetrics
2012-06-01,5.2669,coinmetrics
2012-06-02,5.2436,coinmetrics
2012-06-03,5.2127,coinmetrics
2012-06-04,5.2588,coinmetrics
2012-06-05,5.4260,coinmetrics
2012-06-06,5.4462,coinmetrics
2012-06-07,5.5872,coinmetrics
2012-06-08,5.6225,coinmetrics
2012-06-09,5.5570,coinmetrics
2012-06-10,5.4579,coinmetrics
2012-06-11,5.5870,coinmetrics
2012-06-12,5.7275,coinmetrics
2012-06-13,5.9093,coinmetrics
2012-06-14,5.9620,coinmetrics
2012-06-15,6.5234,coinmetrics
2012-06-16,6.4442,coinmetrics
2012-06-17,6.2000,coinmetrics
2012-06-18,6.3108,coinmetrics
2012-06-19,6.4948,coinmetrics
2012-06-20,6.6936,coinmetrics
2012-06-21,6.6723,coinmetrics
2012-06-22,6.5638,coinmetrics
2012-06-23,6.4475,coinmetrics
2012-06-24,6.3505,coinmetrics
2012-06-25,6.3175,coinmetrics
2012-06-26,6.4329,coinmetrics
2012-06-27,6.6157,coinmetrics
2012-06-28,6.5901,coinmetrics
2012-06-29,6.6588,coinmetrics
2012-06-30,6.6804,coinmetrics
2012-07-01,6.6269,coinmetrics
2012-07-02,6.7435,coinmetrics
2012-07-03,6.4500,coinmetrics
2012-07-04,6.5148,coinmetrics
2012-07-05,6.6424,coinmetrics
2012-07-06,6.6722,coinmetrics
